Name,Stems,Branches,Length,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00328_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_26_17_03.ano.eswc,10,96,2899.72,78.5029,57.4043,1.08903
00329_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_21_17_10.ano.eswc,11,119,3729.01,88.3959,62.3756,1.12514
00331_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_21_17_11.ano.eswc,11,75,2565.3,86.2119,75.2336,1.11808
00333_P005_T01-S016_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_08_56.ano.eswc,10,80,2742.67,68.0295,54.7001,1.11196
00334_P005_T01-S016_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_22_17_17.ano.eswc,12,70,2110.83,84.64,58.8722,1.14167
00341_P005_T01-S016_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_22_17_18.ano.eswc,12,52,2051.39,80.9767,76.7632,1.07594
00342_P005_T01-S016_MFG_R0678_LJ-20220525_LJ_stamp_2022_07_26_17_04.ano.eswc,15,65,2965.33,71.9493,59.0188,1.10621
00345_P005_T01-S016_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_22_17_19.ano.eswc,8,56,2006.62,73.5692,59.4054,1.08063
00348_P005_T01-S016_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_22_17_20.ano.eswc,7,47,1782.11,57.9861,51.3455,1.07256
00361_P005_T01-S009_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_30_14_20.ano.eswc,8,60,2034.95,79.7645,60.3211,1.0501
00368_P005_T01-S009_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_27_11_12.ano.eswc,11,93,3096.67,75.9239,57.1439,1.10971
00373_P005_T01-S009_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_22_17_20.ano.eswc,11,72,2579.87,83.6838,71.3155,1.08874
00374_P005_T01-S005_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_44.ano.eswc,12,150,3889.96,79.2509,59.4859,1.1265
00375_P005_T01-S005_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_46.ano.eswc,12,102,3318.61,84.0472,62.3973,1.10837
00376_P005_T01-S005_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_17_04.ano.eswc,10,118,3101.65,81.7832,64.0749,1.08786
00378_P005_T01-S005_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_17_05.ano.eswc,7,101,2848.87,71.1461,65.5148,1.12054
00379_P005_T01-S005_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_47.ano.eswc,9,107,2746.08,67.447,54.7688,1.0489
00381_P005_T01-S005_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_21_16_35.ano.eswc,11,108,3179.16,77.6179,59.5917,1.11142
