Name,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00177_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_12_17_07.ano.eswc,IPL,49,F,1993,2827.43,11,44,97,54,289.336,299.757,127,2.16577,3529.58,26053.2,30540.1,179.142,220.233,6,0.918609,19.5361,0.909715,66.2171,57.6054,1.07823
00178_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_12_17_08.ano.eswc,IPL,49,F,1072,2463.01,6,19,42,24,308.339,244.587,128,2.30953,2017.29,17422.9,32386.9,196.577,221.293,5,0.931478,24.5,0.966415,48.1147,55.637,1.06018
00179_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_05_17_22.ano.eswc,IPL,49,F,1946,4536.46,7,45,95,51,313.175,313.243,164,2.41597,4478.23,40841.9,82844.8,196.346,252.569,9,0.93211,19.4737,0.917149,61.9192,54.082,1.07547
00181_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_12_17_09.ano.eswc,IPL,49,F,1937,2827.43,8,41,88,48,259.912,249.491,124,2.14257,3309.54,25810.2,36080.4,184.023,229.157,7,0.920017,21,0.843292,65.7284,54.2108,1.0848
00182_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_23_10_49.ano.eswc,IPL,49,F,1600,12.5664,6,37,78,42,239.07,239.658,98,1.99875,2560.59,16088.6,8044.32,138.47,184.639,7,0.904885,19.5,1,82.7424,66.9426,1.08748
00183_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_11_15_25.ano.eswc,IPL,49,F,2019,12.5664,7,37,79,43,260.525,281.367,134,1.99901,3209.2,20164,10082,175.475,233.906,7,0.905485,24.5443,1,73.4412,61.2713,1.06627
00184_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_11_15_26.ano.eswc,IPL,49,F,2492,12.5664,11,49,109,61,309.565,313.243,123,1.9992,4036.58,25362.6,12681.3,190.977,225.113,8,0.900969,21.8532,1,84.2747,61.1916,1.09429
00187_P003_T01-S003_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_23_10_49.ano.eswc,IPL,49,F,1281,12.5664,5,39,81,43,212.52,226.32,99,1.99844,2236.94,14055.1,7027.56,134.567,171.63,7,0.893565,14.8025,1,81.7699,67.1561,1.0531
00189_P003_T01-S003_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_12_17_10.ano.eswc,IPL,49,F,2131,2827.43,7,36,77,42,270.333,308.952,136,2.47677,3084.99,24385.8,31457.2,175.816,221.046,7,0.909423,26.6623,0.98355,83.2045,59.0406,1.07128
00190_P003_T01-S003_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_31_14_21.ano.eswc,IPL,49,F,1583,12.5664,9,29,65,37,223.56,163.3,123,2.53948,2071.37,18391.3,29242.9,153.018,206.118,5,0.918019,23.3385,1.68718,78.948,65.1561,1.043
